Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording16	Participant16	Timeline1	imagenes 13	1	imagenes 13	4999	101755				2931	586	5	183	3,05117	6	118,98	39,67	357,51	121,12	3,02	1,2	7,71	18,11	264	208,43	130,5	101	3,41
Recording16	Participant16	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	106967	0				94148	663	142	183	3,18101	131	93,69	30,14	421,04	69,32	2,86	0,71	13	374,52	1109	195,73	56,28	45,98	0,71
Recording8	Participant8	Timeline1	image 2	1	image 2	4999	59383				2831	354	8	133	3,07936	9	155,51	45,55	345,92	106,83	5,29	1,33	11,15	47,64	149	120,53	93,53	82,96	2,81
Recording8	Participant8	Timeline1	image 7	1	image 7	5015	84394				3814	272	14	150	3,48833	15	117,34	41,87	244,49	68,89	4,41	1,47	11,36	66,18	320	180,65	137,92	79,83	3,77
Recording8	Participant8	Timeline1	imagen 4	1	imagen 4	5015	69380				2548	255	10	83	3,27652	11	113,31	40,01	188,66	45,47	3,95	1,17	7,06	43,41	61	34,02	97,89	71,68	3,5
Recording8	Participant8	Timeline1	imagen 5	1	imagen 5	4999	74396				2198	366	6	766	3,27743	6	76,3	33,22	119,73	34,19	2,71	0,81	5,01	16,25	1225	136,71	75,45	62,06	1,99
Recording8	Participant8	Timeline1	imagen 10	1	imagen 10	4999	94408				2615	201	13	300	3,65838	12	81,83	33,83	159,14	41,05	2,64	1,01	5,9	31,7	33	29,24	50,69	40,44	1,21
Recording8	Participant8	Timeline1	Imagen 1	1	Imagen 1	5015	54367				3531	252	14	366	3,78156	14	76,98	40,83	182,73	45,95	2,76	1,32	7,7	38,65	568	126,11	50,49	44,71	1,32
Recording8	Participant8	Timeline1	Imagen 3	1	Imagen 3	4999	64382				3964	233	17	100	3,42062	17	80,74	30,37	177,09	44,82	2,58	0,86	6,07	43,88	197	257,44	93,19	59,9	3,04
Recording8	Participant8	Timeline1	Imagen 6	1	Imagen 6	4999	79395				0		0			1	93,32	93,32	93,32		3,12	3,12	3,12	3,12	456	297,68	93,32	81,01	3,12
Recording8	Participant8	Timeline1	Imagen 8	1	Imagen 8	4999	89409				3930	302	13	167	3,5723	13	70,5	33,01	170,11	40,05	2,43	0,77	5,69	31,59	201	221,92	58,24	56,87	1,88
Recording8	Participant8	Timeline1	imagenes 13	1	imagenes 13	4999	99407				3681	194	19	217	3,52013	17	141,61	40,47	501,65	114,83	4,53	1,18	15,4	77,07	297	311,22	68,72	60,42	2,15
Recording8	Participant8	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	104604	0				76211	421	181	1682	3,5792	165	102,79	30,32	501,65	78,16	3,4	0,77	15,4	560,66	292	304,1	52,57	52,57	1,41
Recording4	Participant4	Timeline1	image 2	1	image 2	4999	58245				3714	265	14	167	4,08251	14	161,21	31,56	374,63	110,83	4,39	0,97	9,62	61,51	172	96,21	194,73	149,52	7,44
Recording4	Participant4	Timeline1	image 7	1	image 7	4999	83256				3664	282	13	400	4,15235	13	171,18	43,91	470,63	137,41	4,94	0,91	12,96	64,26	160	14,86	470,63	470,63	7,98
Recording4	Participant4	Timeline1	imagen 4	1	imagen 4	4999	68243				4064	239	17	150	4,29118	15	130,62	40,17	319,7	96,86	3,56	1,1	6,79	53,4	34	91,98	42,45	42,45	1,1
