Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording14	Participante 14	Timeline1	imagenes 13	1	imagenes 13	5015	89777				3797	380	10	67	3,43027	10	222,41	40,24	483,96	122,79	6,78	1,6	15,44	67,81	279	117,9	101,51	66,85	3,89
Recording14	Participante 14	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	94945	0				84206	490	172	3464	3,25193	165	119,52	30,08	644,61	109,3	3,84	0,66	15,67	634,16	338	287,12	116,4	68,73	3,75
Recording1	Participante 1	Timeline1	image 2	1	image 2	4999	51199				2598	520	5	250	2,5325	6	112,35	50,61	243,36	68,16	3,77	1,93	7,09	22,62	361	185,15	111,53	75,28	2,63
Recording1	Participante 1	Timeline1	image 7	1	image 7	4999	76210				3214	536	6	416	2,73191	6	70,43	33,25	160,15	48	2,44	1,02	5,21	14,63	565	104,29	86,51	54,43	3,37
Recording1	Participante 1	Timeline1	imagen 4	1	imagen 4	5015	61197				3764	627	6	483	2,89567	6	77,2	32,79	133,27	45,09	2,84	0,94	4,53	17,03	206	95,55	41,81	41,81	1,88
Recording1	Participante 1	Timeline1	imagen 5	1	imagen 5	4999	66213				383	383	1	383	3,05159	2	82,05	65,16	98,95	23,89	2,09	1,23	2,94	4,17	270	62,64	98,95	86,81	2,94
Recording1	Participante 1	Timeline1	imagen 10	1	imagen 10	4999	86224				3914	783	5	600	3,1408	5	57,08	34,03	103,68	28,07	2,07	0,72	4,32	10,37	660	38,01	41,52	41,52	0,89
Recording1	Participante 1	Timeline1	Imagen 1	1	Imagen 1	5015	46184				3997	799	5	650	3,06288	6	64,89	30,75	187,2	60,14	1,57	0,81	3,68	9,44	396	329	44,94	44,94	1,38
Recording1	Participante 1	Timeline1	Imagen 3	1	Imagen 3	4999	56198				3381	483	7	350	3,0436	8	91,52	46,74	155,13	33,71	3,02	1,49	4,64	24,13	208	254,44	76,98	58,48	2,97
Recording1	Participante 1	Timeline1	Imagen 6	1	Imagen 6	4999	71211				0		0			1	72,51	72,51	72,51		2,39	2,39	2,39	2,39	1101	307,47	72,51	59,9	2,39
