Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording12	Participant12	Timeline1	imagen 1	1	imagen 1	5015	46303				3181	265	12	133	3,66125	13	170,51	61,3	250,64	63,9	4,8	1,15	8,38	62,36	330	346,71	226,17	115,48	6,17
Recording12	Participant12	Timeline1	imagen 2	1	imagen 2	4999	51319				3847	427	9	117	3,12997	8	256,93	37,89	519,01	174,44	6,12	1,02	8,96	48,94	261	322,89	92,64	70,41	3,77
Recording12	Participant12	Timeline1	imagen 3	1	imagen 3	5015	56317				4230	325	13	366	3,33229	12	159,06	69,4	363,61	83,81	3,89	1,46	8,25	46,63	8	56,97	225,89	128,37	4,28
Recording12	Participant12	Timeline1	imagen 4	1	imagen 4	4999	61333				3131	224	14	167	3,10228	14	174,99	73,84	349,16	81,17	4,89	2,06	9,03	68,49	39	269,29	182,33	111,46	4,31
Recording12	Participant12	Timeline1	imagen 7	1	imagen 7	5015	71330				3781	344	11	217	3,10507	10	120,48	32,59	311,86	96,97	2,95	0,77	8,9	29,52	434	224,21	92,91	92,91	1,99
Recording12	Participant12	Timeline1	imagen 8	1	imagen 8	4999	76346				3564	274	13	133	3,00786	12	130,19	35,72	285,53	73,71	4	1,25	7,86	48,01	65	38,58	107,98	107,98	2,18
Recording12	Participant12	Timeline1	imagen 9	1	imagen 9	4999	81345				3564	210	17	133	3,16164	14	159,17	31,88	583,76	158,22	4,22	0,74	12,69	59,14	196	250,24	98	80,54	3,33
Recording12	Participant12	Timeline1	imagen 11	1	imagen 11	4999	91342				2965	212	14	283	3,26605	11	212,33	92,57	643,85	152,6	5,11	2,81	12,88	56,24	275	6,47	112,26	112,26	2,85
Recording12	Participant12	Timeline1	inagen 5	1	inagen 5	4999	66332				4014	268	15	217	3,19774	14	118,58	31,44	512,9	132,97	3,35	0,62	11,33	46,95	403	182,43	55,64	55,64	1,67
Recording12	Participant12	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	96539	0				77877	386	202	333	3,20999	171	155,4	31,21	667,95	119,5	4,44	0,62	17,63	758,67	550	201,82	34,6	34,6	1,44
Recording19	Participant19	Timeline1	image 10	1	image 10	5015	97892				3831	319	12	167	3,63682	11	141,74	31,85	543,79	150,11	3,7	0,88	9,78	40,75	329	67,43	85,94	66,71	2,42
Recording19	Participant19	Timeline1	imagen 1	1	imagen 1	5016	57818				3381	338	10	67	4,11705	9	90,59	51,38	169,81	36,8	2,85	1,4	5,54	25,61	1264	108,83	169,81	142,51	5,54
